cheese,milk,country,region,family,type,fat_content,calcium_content,texture,rind,color,flavor,aroma,vegetarian,vegan,producers
Brocciu,"goat, sheep",France,Corsica,Cottage,"fresh soft, whey",40-50%,NA,"creamy, crumbly, smooth",rindless,white,"milky, sweet",sweet,NA,NA,NA
Broncha,"cow, goat",United States,California,NA,"semi-hard, artisan",NA,NA,creamy,mold ripened,straw,"creamy, mild",NA,FALSE,FALSE,Achadinha Cheese Company
Brousse du Rove,"cow, goat, sheep",France,"Bas-Languedoc, Comtat Venaissin",NA,"soft, artisan",NA,NA,creamy,NA,white,"mild, sweet",milky,FALSE,FALSE,NA
Brown’s Gulch,goat,United States,Oregon,Parmesan,"hard, artisan",NA,NA,crumbly,natural,pale yellow,"herbaceous, salty, sharp",strong,FALSE,FALSE,Pholia Farm
Bruder Basil,cow,Germany,Bavaria,NA,"semi-soft, artisan",45%,NA,"creamy, open, smooth",washed,pale yellow,"mild, savory, smokey","rich, smokey",FALSE,FALSE,Bergader Private Cheese Dairy
Brunost,"cow, goat","Denmark, Finland, Germany, Iceland, Norway, Sweden",NA,NA,"semi-soft, whey",27 g/100g,360 mg/100g,dense,natural,brown,"caramel, sweet",NA,NA,NA,NA
Brusselae Kaas (Fromage de Bruxelles),cow,Belgium,NA,NA,"soft, artisan",NA,NA,smooth,washed,pale yellow,"salty, sharp",strong,FALSE,FALSE,NA
Brutal Blue,cow,United States,Oregon,Blue,"semi-soft, artisan",NA,NA,creamy,NA,cream,"creamy, spicy, strong, woody",strong,TRUE,FALSE,Rogue Creamery
Bryndza,sheep,"Hungary, Poland, Slovakia",NA,NA,"soft, artisan",NA,NA,spreadable,rindless,white,"mild, salty",NA,NA,NA,NA
Brânză de Burduf,sheep,Romania,Romanian Carpathians,NA,"soft, artisan",NA,NA,,natural,white,"salty, spicy",woody,FALSE,FALSE,NA
Buche de Chevre,goat,France,NA,NA,"soft, soft-ripened",NA,NA,creamy,NA,white,sweet,NA,NA,NA,NA
Bucheret,goat,United States,California,Brie,"soft, artisan, soft-ripened",10%,NA,"buttery, chalky, dense, smooth, soft-ripened",bloomy,white,"buttery, mushroomy, nutty, tangy",rich,TRUE,FALSE,Redwood Hill Farm & Creamery
Buchette d'Anjou,goat,France,Loire,NA,soft,45%,NA,"firm, grainy",artificial,ivory,"acidic, citrusy",aromatic,FALSE,FALSE,Various
Buchette de Manon,goat,France,NA,NA,soft,NA,NA,creamy,natural,cream,mild,clean,FALSE,FALSE,NA
Bufala Soldier,"cow, goat, water buffalo",United States,Colorado,Camembert,"soft, artisan, soft-ripened",NA,NA,"buttery, creamy",bloomy,pale yellow,"acidic, buttery, creamy, earthy, sweet",rich,TRUE,FALSE,Haystack Mountain Creamery
Bufalino,buffalo,Italy,NA,NA,soft,NA,NA,"creamy, soft",NA,white,"creamy, strong",buttery,NA,NA,Casa Madaio
Bufarolo,water buffalo,Italy,Lombardy,Cottage,"fresh soft, artisan",NA,NA,"chalky, crumbly",rindless,white,"mild, milky, subtle","fresh, mild, milky, pleasant",FALSE,FALSE,Azienda Agricola Gritti Bruno E Alfio S.s. Societa Agricola
Buff Blue,buffalo,United States,Southern California,Blue,"firm, blue-veined",NA,NA,,natural,blue,smokey,"earthy, smokey",NA,NA,Bleating Heart Cheese
Burgos,"cow, sheep",Spain,Castille-Leon,NA,fresh soft,46-60%,NA,creamy,rindless,white,"mild, milky",fresh,FALSE,FALSE,NA
Burrata,water buffalo,"Italy, United States",Apulia,Mozzarella,"fresh soft, artisan",NA,NA,"creamy, stringy",leaf wrapped,white,"buttery, milky","fresh, milky",FALSE,FALSE,NA
Burwash Rose,cow,"England, Great Britain, United Kingdom","Stonegate, East Sussex",NA,"semi-soft, artisan",NA,NA,"creamy, springy",washed,cream,creamy,"aromatic, floral",TRUE,FALSE,Traditional Cheese Dairy
Burwood Bole,cow,"England, Great Britain, United Kingdom",Dorset,NA,"semi-hard, artisan",NA,NA,firm,washed,pale yellow,"lemony, nutty, sweet",NA,TRUE,FALSE,James’s Cheese
Butte,cow,France,NA,NA,"soft, soft-ripened",NA,NA,smooth,washed,yellow,"bitter, salty","rich, ripe",FALSE,FALSE,NA
Buttercup,"cow, goat",United States,Colorado,Monterey Jack,"semi-soft, artisan",NA,NA,"creamy, firm, open",waxed,pale yellow,"buttery, creamy",NA,TRUE,FALSE,Haystack Mountain Creamery
Butterkase,cow,"Austria, Germany",NA,NA,semi-soft,50%,NA,"creamy, smooth, spreadable",natural,pale yellow,"buttery, mild",NA,FALSE,FALSE,NA
Buttermilk Blue,cow,United States,Wisconsin,NA,"semi-hard, blue-veined",8 g/100g,NA,"creamy, crumbly",natural,pale yellow,"piquant, tangy",fresh,NA,NA,Emmi Roth USA
Buttermilk Blue Affinee,cow,United States,Wisconsin,Blue,"semi-soft, blue-veined",NA,NA,creamy,natural,ivory,"earthy, piquant, strong",rich,TRUE,FALSE,Emmi Roth USA
Buttermilk Gorgonzola,cow,United States,Wisconsin,Blue,"semi-soft, blue-veined",NA,NA,crumbly,natural,pale yellow,"piquant, spicy",rich,TRUE,FALSE,Emmi Roth USA
Butternut,cow,United States,Vermont,NA,"semi-hard, artisan",NA,NA,"creamy, firm",natural,pale yellow,"buttery, nutty","earthy, mushroom",FALSE,FALSE,Willow Hill Farm
Buxton Blue,cow,"England, United Kingdom","Buxton, Derbyshire",Blue,"soft, artisan, blue-veined",45%,NA,crumbly,natural,yellow,tangy,NA,TRUE,FALSE,NA
Byaslag,yak,Mongolia,NA,NA,"fresh soft, artisan",NA,NA,firm,natural,pale yellow,"creamy, mild, salty",aromatic,NA,NA,NA
Bûchette à la Sarriette,goat,France,NA,NA,"soft, processed",45%,NA,,NA,NA,NA,NA,NA,NA,NA
Cabecou,goat,France,Midi-Pyrenees,NA,"soft, artisan",NA,NA,"creamy, smooth",leaf wrapped,white,"smooth, tangy",aromatic,FALSE,FALSE,NA
Cabecou Feuille D'Armagnac,goat,France,NA,NA,"fresh soft, artisan",NA,NA,smooth,natural,white,"fruity, spicy, tangy",aromatic,FALSE,FALSE,NA
Caboc,cow,Scotland,NA,NA,soft,NA,NA,"creamy, smooth",natural,white,"buttery, creamy","buttery, fresh",NA,NA,Highland Fine Cheeses Limited
Cabot Clothbound,cow,United States,Vermont,Cheddar,"hard, artisan",NA,NA,"crumbly, flaky",natural,yellow,"nutty, savory, sweet, tangy",NA,FALSE,FALSE,"Cabot Creamery , Jasper Hill Farm"
Cabrales,cow,Spain,NA,Blue,"semi-hard, artisan, blue-veined",NA,NA,"creamy, firm",NA,NA,"acidic, salty, sharp",strong,NA,NA,NA
Cachaille,goat,France,Puimichel in Provence Alpes,NA,soft,NA,NA,,NA,NA,NA,NA,FALSE,FALSE,NA
Cacio De Roma®,sheep,Italy,NA,NA,"semi-soft, artisan",20%,NA,semi firm,NA,ivory,mild,sweet,FALSE,FALSE,NA
Cacio di Bosco al Tartufo,"cow, sheep",Italy,Tuscany,NA,"semi-firm, artisan",55%,NA,"crumbly, firm",NA,ivory,"nutty, sour, sweet",strong,NA,NA,Cooperativa Agricola IL FORTETO
Caciobarricato,cow,Italy,Veneto,Pasta filata,semi-soft,NA,NA,"elastic, soft, stringy, supple",natural,ivory,"pronounced, sharp, tangy","clean, mild",FALSE,FALSE,La Casearia Carpenedo S.r.l.
Caciobirraio,cow,Italy,Veneto,NA,soft,NA,NA,compact,natural,straw,"bitter, subtle","aromatic, toasty",FALSE,FALSE,La Casearia Carpenedo S.r.l.
Caciobufala,water buffalo,Italy,Campania,NA,semi-hard,NA,NA,compact,NA,ivory,sweet,"aromatic, buttery, pleasant",FALSE,FALSE,Casa Madaio
Caciocavallo,cow,Italy,NA,Pasta filata,semi-hard,NA,NA,"elastic, firm",natural,NA,NA,earthy,NA,NA,NA
Caciocavallo di Bufala,water buffalo,Italy,NA,Pasta filata,"semi-hard, artisan",NA,NA,smooth,NA,NA,savory,earthy,NA,NA,NA
Caciocavallo Podolico Vetus,cow,Italy,NA,Pasta filata,soft,NA,NA,firm,natural,NA,"buttery, sweet",earthy,NA,NA,Casa Madaio
Cacioradicchio,,Italy,Veneto,NA,soft,NA,NA,creamy,leaf wrapped,white,"bitter, herbaceous, subtle","aromatic, fresh",FALSE,FALSE,La Casearia Carpenedo S.r.l.
Caciotta,"cow, goat, sheep, water buffalo",Italy,NA,NA,"semi-soft, artisan",NA,NA,"compact, firm",NA,NA,mild,NA,NA,NA,NA
Caciotta Al Tartufo,"cow, sheep",Italy,"Umbria, Lazio",Caciotta,"semi-soft, artisan",NA,NA,firm,natural,ivory,"spicy, tangy",earthy,NA,NA,NA
Cacow Belle,cow,United States,Oregon,Cheddar,"semi-soft, artisan",NA,NA,"creamy, smooth",natural,pale yellow,"savory, spicy, sweet","aromatic, spicy",TRUE,FALSE,Rogue Creamery
Caerphilly,cow,"United Kingdom, Wales","Wales, London",Cheddar,hard,48%,NA,"crumbly, dense",natural,white,"citrusy, mild, tangy",fresh,NA,NA,NA
Cahill's Irish Porter Cheddar,cow,Ireland,NA,Cheddar,"semi-hard, artisan",NA,NA,firm,NA,brownish yellow,"full-flavored, tangy",rich,NA,NA,Cahills Farm Cheese
Cahill's Whiskey Cheese,cow,Ireland,Co Limerick,Cheddar,"semi-hard, artisan",NA,NA,"creamy, soft",waxed,straw,"butterscotch, creamy","pecan, whiskey",NA,NA,Cahills Farm Cheese
Cairnsmore,sheep,Scotland,Wigtownshire,Cheddar,"hard, artisan",NA,NA,"crumbly, open, smooth",natural,ivory,"burnt caramel, nutty, sweet",aromatic,TRUE,FALSE,Galloway Farmhouse Cheese
Calcagno,sheep,Italy,Sardinia & Campania,Pecorino,"hard, artisan",NA,NA,"firm, flaky, smooth",natural,pale yellow,"herbaceous, savory, sweet",herbal,FALSE,FALSE,Casa Madaio
Calenzana (Calinzanincu),"goat, sheep",France,Upper Corsica,NA,"semi-soft, artisan",NA,NA,creamy,natural,pale yellow,strong,rich,FALSE,FALSE,NA
California Crottin,goat,United States,NA,Brie,"soft, artisan, soft-ripened",NA,NA,"dense, firm",mold ripened,cream,"earthy, full-flavored, tangy",mushroom,NA,NA,Redwood Hill Farm & Creamery
cambazola,cow,Germany,NA,Blue,"soft, soft-ripened",NA,NA,creamy,NA,NA,NA,NA,TRUE,FALSE,NA
Cambozola Grand Noir,cow,Germany,Allgäu,Blue,"semi-soft, blue-veined",NA,NA,creamy,waxed,pale yellow,"sharp, sweet",aromatic,TRUE,FALSE,Käserei Champignon
Cambus o’May,cow,Scotland,Aberdeenshire,NA,"semi-hard, artisan",NA,NA,creamy,cloth wrapped,cream,sharp,strong,NA,NA,The Cambus O’May Cheese Company
Camembert,cow,France,NA,Camembert,"soft, artisan",NA,NA,"smooth, soft-ripened",NA,pale yellow,sweet,"buttery, rich",NA,NA,NA
Camembert Calvados,cow,France,NA,NA,"soft, semi-soft",NA,NA,"creamy, smooth, springy",NA,yellow,savory,"aromatic, fruity",NA,NA,NA
Camembert de Normandie,cow,France,Normandy,Camembert,"soft, soft-ripened",NA,NA,creamy,bloomy,pale yellow,creamy,NA,NA,NA,NA
Camembert de Portneuf,cow,Canada,Quebec,Camembert,"soft, soft-ripened",NA,NA,"creamy, soft-ripened, supple",bloomy,pale yellow,"buttery, creamy",aromatic,NA,NA,Alexis de Portneuf
Camembert des Camarades,cow,Canada,Quebec,Camembert,"soft, soft-ripened",30%,NA,"creamy, soft, soft-ripened",bloomy,ivory,"buttery, nutty, subtle, sweet","aromatic, fresh",NA,NA,La Maison Alexis de Portneuf Inc.
Cameo,goat,United States,California,Camembert,"semi-soft, artisan",NA,NA,"buttery, creamy, soft",bloomy,white,"creamy, smooth","floral, goaty, herbal",NA,NA,Redwood Hill Farm & Creamery
Campfire,cow,United States,Port Townsend,Monterey Jack,semi-hard,NA,NA,"compact, creamy, firm, open, supple",natural,ivory,"buttery, smokey , sweet",smokey,FALSE,FALSE,Mt. Townsend Creamery
Campi,water buffalo,Italy,Lombardy,NA,"semi-hard, artisan",NA,NA,"elastic, firm",natural,ivory,"spicy, sweet",strong,FALSE,FALSE,Azienda Agricola Gritti Bruno E Alfio S.s. Societa Agricola
Cana de Cabra,goat,Spain,Murcia,NA,"semi-soft, soft-ripened",NA,NA,creamy,bloomy,ivory,"creamy, mild","mild, mushroom",NA,NA,NA
Canadian Cheddar,"cow, goat, sheep",Canada,Ontario,Cheddar,"hard, artisan, processed",NA,NA,"crumbly, open",natural,yellow,"full-flavored, milky, salty, sharp","fresh, rich, strong",FALSE,FALSE,Balderson Cheese Company
Canarejal,sheep,Spain,NA,NA,soft,NA,NA,"gooey, runny, smooth",NA,pale yellow,NA,NA,NA,NA,NA
Canastra cheese,cow,Brazil,"Serra da Canastra, Minas Gerais state",NA,artisan,NA,NA,,NA,yellow,spicy,aromatic,NA,NA,NA
Cancoillotte (Cancoyotte),cow,France,NA,NA,soft,NA,NA,,NA,NA,NA,NA,FALSE,FALSE,NA
Canestrato,"goat, sheep",Italy,Moliterno,NA,"hard, artisan",NA,NA,"dense, flaky",NA,straw,full-flavored,"spicy, strong",NA,NA,Casa Madaio
Cantal,cow,France,NA,NA,"semi-hard, artisan",NA,NA,firm,natural,pale yellow,NA,NA,NA,NA,NA
Cap Cressy,goat,"Canada, Italy",Lombardy,NA,"semi-hard, artisan, smear-ripened",NA,NA,"compact, dense",washed,pale yellow,"mellow, savory, sweet",lactic,NA,NA,Fifth Town Artisan Cheese
Cape Vessey,goat,Canada,"Prince Edward County, Ontario",NA,"semi-soft, artisan",NA,NA,"chewy, firm",washed,pale yellow,"acidic, creamy, subtle, sweet","goaty, rich, strong",NA,NA,NA
Capra al Fieno,goat,Italy,"Treviso, Veneto",NA,"semi-soft, artisan",NA,NA,firm,natural,ivory,"strong, woody","floral, grassy",NA,NA,Moro Latteria di Moro Sergio
Capra al Pepe,goat,Italy,"Treviso, Veneto",NA,"soft, artisan",NA,NA,"creamy, soft",natural,pale yellow,"mild, spicy",spicy,NA,NA,Moro Latteria di Moro Sergio
Capra Nouveau,goat,England,"Chelmarsh, Bridgnorth, Shropshire",NA,semi-soft,NA,NA,"creamy, smooth",washed,ivory,"creamy, herbaceous, nutty, smooth, sweet","herbal, nutty, rich, sweet",NA,NA,Brock Hall Farm Dairy
Caprano,goat,Canada,Quebec,NA,"hard, semi-hard",26%,NA,"crumbly, open, smooth",natural,pale yellow,pronounced,"goaty, strong",TRUE,FALSE,La Maison Alexis de Portneuf Inc.
Capraricca,goat,Italy,Veneto,NA,"soft, artisan, soft-ripened",NA,NA,"creamy, runny, supple",bloomy,white,sweet,"fresh, goaty",FALSE,FALSE,La Casearia Carpenedo S.r.l.
Caprese di Bufala,water buffalo,Italy,Veneto,NA,soft,NA,NA,"oily, smooth",natural,straw,"herbaceous, mild, subtle, vegetal","aromatic, fresh",FALSE,FALSE,La Casearia Carpenedo S.r.l.
Capri Blu,goat,"Canada, Italy",Lombardy,Blue,"soft, blue-veined",NA,NA,"creamy, soft",natural,pale yellow,"creamy, subtle, sweet",goaty,NA,NA,Fifth Town Artisan Cheese
Capriago,goat,United States,"Sebastopol, California",NA,"hard, artisan, brined",NA,NA,firm,washed,NA,"nutty, sweet","nutty, spicy",NA,NA,Bohemian Creamery
Caprice,goat,"Canada, Italy",Lombardy,NA,soft,NA,NA,"creamy, smooth",natural,white,subtle,goaty,NA,NA,Fifth Town Artisan Cheese
Caprice des Dieux,cow,France,Illoud (Haute-Marne),NA,"soft, soft-ripened",60%,NA,"creamy, smooth",bloomy,white,"buttery, nutty, smooth",fresh,TRUE,FALSE,Savencia Fromage & Dairy
Capricious,goat,United States,"Petaluma, California",NA,"hard, artisan",NA,NA,creamy,mold ripened,ivory,"caramel, nutty",nutty,NA,NA,Achadinha Cheese Company
Capricorn Somerset Goats Cheese,goat,England,Somerset,NA,"soft, artisan",NA,NA,"creamy, crumbly, firm, smooth",bloomy,white,nutty,NA,TRUE,FALSE,Lactalis McLelland Ltd
Capriny,goat,Canada,Quebec,NA,soft,NA,NA,creamy,rindless,white,"creamy, mild, sharp, sour",goaty,NA,NA,La Maison Alexis de Portneuf Inc.
Capriole Banon,goat,United States,"Greenville, Indiana",NA,"soft, artisan",NA,NA,"creamy, dense",leaf wrapped,pale yellow,"citrusy, strong, sweet","aromatic, fresh, goaty",FALSE,FALSE,Capriole Goat Cheese
Caprotto,goat,Italy,Campania,NA,"hard, artisan",NA,NA,compact,natural,straw,"sharp, spicy","floral, strong",FALSE,FALSE,Casa Madaio
Carabiner,cow,United States,California,NA,"semi-hard, artisan",NA,NA,"dense, firm",natural,yellow,"nutty, salty, sweet",earthy,TRUE,FALSE,Weirauch Farm and Creamery
Caravane,camel,Mauritania,NA,NA,"soft, artisan",22%,NA,creamy,bloomy,white,"salty, sweet",NA,TRUE,FALSE,Tiviski
Carboncino,"cow, goat, sheep",Italy,NA,NA,fresh soft,NA,NA,"creamy, gooey, runny, soft",NA,white,NA,NA,NA,NA,NA
Cardo,goat,"England, Scotland, Wales","Timsbury, Somerset",NA,"semi-soft, artisan",NA,NA,"firm, open, runny",washed,ivory,"floral, pungent, savory",pungent,TRUE,FALSE,NA
Carlina,cow,Italy,Veneto,NA,"fresh soft, artisan",NA,NA,creamy,bloomy,white,subtle,fresh,FALSE,FALSE,La Casearia Carpenedo S.r.l.
Carlow,cow,Ireland,County Carlow,NA,"semi-hard, artisan",NA,NA,"firm, smooth",waxed,golden yellow,"mild, savory, spicy",NA,NA,NA,Elizabeth Bradley @ Carlow Cheese
Carmody,cow,United States,California,Gorgonzola,"semi-hard, artisan",NA,NA,firm,natural,cream,"buttery, caramel, sweet",fresh,TRUE,FALSE,Bellwether Farms
Carnia Altobut,cow,Italy,Carnia,NA,"hard, artisan",NA,NA,"compact, elastic, firm, open",natural,pale yellow,"pronounced, strong, subtle","aromatic, floral",FALSE,FALSE,La Casearia Carpenedo S.r.l.
Caronzola,cow,Canada,Quebec,Blue,"soft, blue-veined",NA,NA,creamy,bloomy,ivory,mild,NA,NA,NA,La Maison Alexis de Portneuf Inc.
Carr Valley Glacier Wildfire Blue,cow,United States,Wisconsin,Blue,"semi-soft, artisan, blue-veined",NA,NA,"creamy, crumbly, soft",rindless,ivory,creamy,clean,NA,NA,Carr Valley Cheese Company
Carre de l'Est,cow,France,NA,NA,soft,NA,NA,smooth,washed,pale yellow,smokey,NA,NA,NA,NA
Carrick,cow,Scotland,NA,NA,"hard, organic",NA,NA,creamy,edible,cream,citrusy,earthy,TRUE,FALSE,The Ethical Dairy
Carrot Rebel,cow,Austria,Sulzberg,NA,"semi-hard, artisan",50%,NA,creamy,natural,orange,"creamy, fruity, nutty, sweet","aromatic, fruity, sweet",NA,NA,Sulzberger Käserebellen Sennerei GmbH
Carrowholly,cow,Ireland,Co. Mayo,Gouda,"hard, artisan",NA,NA,"crumbly, crystalline, firm, smooth",waxed,yellow,"acidic, crunchy, fruity, herbaceous, mild, spicy",NA,TRUE,FALSE,Carrowholly Cheese
Casatica,water buffalo,Italy,Lombardy,NA,"semi-soft, artisan, soft-ripened",NA,NA,"creamy, soft-ripened",bloomy,white,"creamy, subtle","aromatic, milky, pleasant, rich",FALSE,FALSE,NA
Casciotta di Urbino,"cow, sheep",Italy,Pesaro-Urbino,Caciotta,"semi-soft, artisan",45%,NA,"creamy, crumbly, open",waxed,straw,"acidic, milky, nutty","grassy, pleasant",FALSE,FALSE,Caseificio Val D’Apsa
Cashel Blue,cow,Ireland,NA,Blue,"semi-soft, blue-veined",NA,NA,creamy,natural,blue,tangy,sweet,TRUE,FALSE,J&L Grubb Ltd.
Cashew Nut Cream Cheese,,United States,Brooklyn NY,NA,"soft, artisan",NA,NA,"creamy, smooth, soft, spreadable",NA,white,"creamy, nutty, sweet","clean, fresh, nutty",TRUE,FALSE,Dr. Cow Tree Nut Cheese
Castelmagno,"cow, goat, sheep",Italy,Piedmont,Blue,semi-hard,34.2 g/100g,4768 mg/100g,"crumbly, dense, grainy",washed,ivory,"sharp, spicy, strong",strong,FALSE,FALSE,NA
Castelo Branco,"goat, sheep",Portugal,"Castelo Branco, Fundão and Idanha-a-Nova",NA,"semi-soft, artisan",45%,NA,"brittle, creamy, crumbly, firm, smooth",natural,pale yellow,"sour, spicy, tangy",aromatic,TRUE,FALSE,NA
Castigliano,"cow, goat, sheep",Spain,Castile-Leon,NA,hard,NA,NA,firm,natural,yellow,"acidic, salty, spicy",rich,FALSE,FALSE,NA
Castillon Frais,sheep,France,NA,NA,fresh soft,NA,NA,"creamy, open",rindless,white,"citrusy, creamy, floral, herbaceous","clean, floral, fresh",FALSE,FALSE,David and Fanette Ladu
Castle Blue,cow,Canada,British Columbia,Brie,"semi-soft, blue-veined, soft-ripened",NA,NA,"buttery, creamy",natural,cream,"creamy, piquant, sweet","earthy, rich",FALSE,FALSE,The Farm House Natural Cheeses
Casu marzu,sheep,"France, Italy","Sardinia (Italy), Southern Corsica (France)",NA,"soft, soft-ripened",NA,NA,soft-ripened,natural,NA,NA,NA,NA,NA,NA
Cathelain,cow,France,NA,NA,soft,NA,NA,smooth,NA,NA,sour,NA,FALSE,FALSE,NA
Catupiry,cow,Brazil,NA,NA,"soft, processed",NA,NA,"creamy, spreadable",NA,white,"creamy, mild, milky","fresh, milky",FALSE,FALSE,NA
Cave Aged Marisa,sheep,United States,Wisconsin,NA,"semi-hard, artisan",NA,NA,firm,natural,pale yellow,"sweet, tangy",sweet,NA,NA,Carr Valley Cheese Company
Cave Rebel,cow,Austria,Sulzberg,NA,"hard, artisan",50%,NA,"compact, crumbly, firm, open",natural,pale yellow,"creamy, grassy","aromatic, nutty",NA,NA,Sulzberger Käserebellen Sennerei GmbH
Caveman Blue,cow,United States,Oregon,Blue,"semi-hard, blue-veined",NA,NA,"creamy, dense",natural,pale yellow,"buttery, mushroomy",fresh,TRUE,FALSE,Rogue Creamery
Caws Cenarth Black Sheep,sheep,Wales,NA,NA,semi-hard,NA,NA,buttery,NA,cream,NA,NA,NA,NA,NA
Caws Penhelyg Abaty,cow,Wales,NA,NA,soft,NA,NA,gooey,NA,white,NA,NA,NA,NA,NA
Cayuga Blue,goat,United States,NY,Blue,"semi-hard, blue-veined",NA,NA,compact,bloomy,ivory,creamy,"mild, rich",TRUE,FALSE,Lively Run Goat Dairy
Cello Thick & Smooth Mascarpone,cow,United States,NA,NA,"fresh soft, processed",NA,NA,"buttery, creamy, firm, smooth",rindless,white,"creamy, milky, sweet","fresh, milky",NA,NA,Schuman Cheese
Celtic Promise,cow,United Kingdom,Ceredigion,NA,"semi-soft, artisan",NA,NA,creamy,washed,yellow,full-flavored,pungent,TRUE,FALSE,Teifi Farmhouse Cheese
Cendre d'Olivet,cow,France,Centre-Val de Loire,NA,"soft, artisan",45%,NA,"smooth, supple",natural,ivory,"mild, smooth","earthy, pungent",FALSE,FALSE,NA
Cendré des Prés,cow,Canada,Quebec,Brie,"soft, artisan, soft-ripened",27%,NA,"buttery, creamy, soft",bloomy,ivory,"acidic, buttery, creamy, fruity, mushroomy","aromatic, buttery, floral, lactic, mushroom, woody",NA,NA,Fromagerie Domaine Féodal inc.
Cerney Pyramid,goat,"England, Great Britain, United Kingdom",Cotswolds,NA,"fresh soft, artisan",NA,NA,creamy,natural,white,"citrusy, lemony, mild, sweet",NA,TRUE,FALSE,NA
Chabichou du Poitou,goat,France,NA,NA,"semi-soft, artisan",NA,NA,creamy,NA,white,"salty, sweet, tangy",goaty,NA,NA,NA
Chabis de Gatine,goat,France,Poitou-Charentes,NA,"soft, artisan",NA,NA,"firm, smooth",natural,white,"salty, sharp",goaty,FALSE,FALSE,NA
Challerhocker,cow,Switzerland,"St. Gallen (canton), Tufertschwil",Swiss Cheese,hard,NA,NA,"creamy, dense, smooth",washed,pale yellow,"caramel, nutty, salty, sweet","nutty, sweet",NA,NA,Käserei Tufertschwil
Champignon de Luxe Garlic,cow,Germany,Allgäu,NA,"soft, soft-ripened",NA,NA,creamy,natural,cream,"garlicky, herbaceous","herbal, spicy",TRUE,FALSE,Käserei Champignon
Champignon de Luxe Pepper,cow,Germany,Allgäu,NA,"soft, soft-ripened",NA,NA,creamy,natural,cream,"creamy, sharp",spicy,TRUE,FALSE,Käserei Champignon
Champignon Mushrooom,cow,Germany,Allgäu,NA,"soft, soft-ripened",NA,NA,creamy,natural,cream,"creamy, mushroomy","fresh, mild",TRUE,FALSE,Käserei Champignon
Chaource,cow,France,NA,NA,"soft, soft-ripened",NA,NA,"creamy, runny",NA,cream,creamy,NA,NA,NA,NA
Chapman's Pasture,cow,United States,Vermont,Parmesan,semi-hard,NA,NA,grainy,washed,ivory,"sharp, sweet","strong, sweet",FALSE,FALSE,Parish Hill Creamery
Charolais,goat,France,Bourgogne,NA,semi-soft,NA,NA,firm,NA,NA,"acidic, salty, sweet",subtle,FALSE,FALSE,NA
Chaumes,cow,France,St Antoine,NA,"soft, semi-soft, soft-ripened",50%,NA,"creamy, smooth, springy, supple",washed,pale yellow,"full-flavored, nutty","aromatic, strong",FALSE,FALSE,NA
Chavroux,goat,France,NA,NA,soft,12%,NA,"creamy, spreadable",NA,white,"creamy, mild","fresh, goaty",NA,NA,NA
Checkerboard Cheddar,cow,United States,NY,Cheddar,"semi-hard, artisan",NA,NA,crumbly,natural,pale yellow,"sharp, sweet, tangy",pleasant,NA,NA,Muranda Cheese Company
Cheddar,cow,England,NA,Cheddar,hard,NA,NA,compact,NA,pale yellow,"creamy, sharp",NA,NA,NA,NA
Cheddar LaDiDa Lavender,cow,United States,Oregon,Cheddar,"semi-hard, artisan",NA,NA,"creamy, smooth",natural,white,"herbaceous, savory, subtle",earthy,TRUE,FALSE,Rogue Creamery
Cheddar with Irish Porter,cow,Ireland,Kilmallock County Limerick,Cheddar,"semi-hard, artisan",NA,NA,smooth,NA,pale yellow,"fruity, tangy","pungent, rich",NA,NA,NA
Cheddar with Red Wine,cow,Ireland,Kilmallock County Limerick,Cheddar,"semi-hard, artisan",NA,NA,firm,NA,pale yellow,"fruity, tangy","fruity, rich",TRUE,FALSE,J.O.D. Foods
Cheese Curds,,"Canada, India, United States",NA,Cheddar,fresh firm,NA,NA,"firm, springy",natural,white,"mild, milky",fresh,NA,NA,NA
Chelsea Blue,,Australia,"Mornington Peninsula, Melbourne",Blue,artisan,NA,NA,crumbly,NA,NA,"nutty, salty, sweet","nutty, sweet",TRUE,FALSE,BoatShed Cheese
Cherni Vit,sheep,Bulgaria,Central Balkan Mountains,NA,"soft, brined",NA,NA,soft,mold ripened,green,"nutty, sharp",NA,NA,NA,NA
Cherokee Rose,cow,United States,Georgia,Raclette,"hard, artisan",NA,NA,"creamy, smooth, soft",natural,pale yellow,"buttery, nutty, sweet, tangy","fresh, milky",NA,NA,Nature's Harmony Farm
Cheshire,cow,United Kingdom,NA,NA,hard,NA,NA,"crumbly, dense",cloth wrapped,orange,earthy,"grassy, spicy",NA,NA,Appleby's
Chevre en Marinade,goat,United States,Colorado,NA,"semi-soft, artisan",NA,NA,"creamy, crumbly, firm, oily",rindless,white,"garlicky, herbaceous, spicy","aromatic, pungent",TRUE,FALSE,Haystack Mountain Creamery
Chevre Log,goat,United States,California,NA,fresh soft,NA,NA,"creamy, crumbly, smooth, spreadable",rindless,white,"citrusy, creamy","fresh, mild",TRUE,FALSE,"Cypress Grove Chevre, Goat Lady Dairy"
Chevrotin des Aravis,goat,France,Haute-Savoie / Upper Savoy,NA,"soft, artisan, brined",45%,NA,"creamy, smooth",washed,pale yellow,"full-flavored, herbaceous, sweet","aromatic, floral, goaty",FALSE,FALSE,NA
Chhurpi,"cow, yak","China, Nepal, Tibet",NA,Cottage,"soft, hard, artisan",NA,NA,dense,natural,pale yellow,tangy,NA,NA,NA,NA
